Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Description,Customer Reference,Quantity 1,Price,Stock Status,Mfg Std Lead Time,Comments,RoHS Status,Lead Free Status,REACH Status
445-5990-1-ND,TDK CORPORATION (VA),C3216X7R1H335K160AC,CAP CER 3.3UF 50V X7R 1206,,3,"	1.13000",22543 IN STOCK/NO DELIVERY DATE AVAILABLE,18 Weeks,No delivery date available,RoHS Compliant,Lead free,Unaffected Jun-2015
1N5819HW-FDICT-ND,DIODES INCORPORATED (VA),1N5819HW-7-F,DIODE SCHOTTKY 40V 1A SOD123,,3,"	0.44000",NO DELIVERY DATE AVAILABLE,5 Weeks,No delivery date available,RoHS Compliant,Lead free,Unaffected Jun-2016
SI4904DY-T1-GE3CT-ND,VISHAY SILICONIX (VA),SI4904DY-T1-GE3,MOSFET 2N-CH 40V 8A 8-SOIC,,6,"	2.19000",IN STOCK,15 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
LTC4357CMS8#PBF-ND,LINEAR TECHNOLOGY,LTC4357CMS8#PBF,IC OR CTRLR N+1 8MSOP,,2,"	3.42000",IN STOCK,4 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
PCE4446CT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),EEE-FPV391UAP,CAP ALUM 390UF 20% 35V SMD,,3,"	1.04000",IN STOCK,18 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
541-1344-1-ND,VISHAY DALE (VA),IHLP6767DZER330M11,FIXED IND 33UH 6.5A 70.84 MOHM,,3,"	5.68000",IN STOCK,11 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2011
SRR1260-6R8YCT-ND,BOURNS INC (VA),SRR1260-6R8Y,FIXED IND 6.8UH 6.3A 18 MOHM SMD,,3,"	0.97000",IN STOCK,17 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
SRR1240-4R7MCT-ND,BOURNS INC (VA),SRR1240-4R7M,FIXED IND 4.7UH 6A 18 MOHM SMD,,3,"	0.97000",AVAIL 0/BAL 13 WKS ARO,17 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
Z3028-ND,OMRON ELECTRONICS INC-EMC DIV,EE-SX461-P11,SENSOR OPTO 15MM LIGHTON TRANS,,1,"	7.66000",IN STOCK,12 Weeks,,RoHS Compliant,Lead free,Not Available
WM11904CT-ND,"MOLEX, LLC (VA)",428150114,MF SR CRIMP TERM F SILVER 1012AW,,16,"	1.03400",IN STOCK,11 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected
WM1929-ND,"MOLEX, LLC",428160412,CONN RECEPT 4POS F/H SINGLE,,4,"	2.28000",IN STOCK,6 Weeks,,RoHS Compliant,Lead free,Unaffected Dec-2015
MBRS340FSCT-ND,FAIRCHILD SEMICONDUCTOR (VA),MBRS340,DIODE SCHOTTKY 40V 4A SMC,,10,"	0.48200",IN STOCK,8 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
